Designator,Mid X,Mid Y,Rotation,Layer
C1,334.518,-78.585,270.0,bottom
C10,296.291,-31.496,270.0,bottom
C11,330.454,-90.452,270.0,bottom
C13,342.674,-94.168,0.0,bottom
C2,335.28,-89.027,270.0,bottom
C3,323.977,-79.22,270.0,bottom
C4,328.422,-90.452,270.0,bottom
C5,335.534,-78.585,270.0,bottom
C6,336.296,-89.027,270.0,bottom
C7,325.12,-79.22,270.0,bottom
C8,329.438,-90.452,270.0,bottom
C9,293.497,-35.052,0.0,bottom
D1,29.083,-24.763638,90.0,bottom
D10,233.985115,-24.763638,90.0,bottom
D11,253.005115,-24.763638,90.0,bottom
D12,272.055115,-24.763638,90.0,bottom
D13,291.075115,-24.763638,90.0,bottom
D14,314.855115,-24.763638,90.0,bottom
D15,338.074,-24.763638,90.0,bottom
D16,352.895115,-24.763638,90.0,bottom
D17,24.765115,-48.543638,90.0,bottom
D18,43.785115,-48.543638,90.0,bottom
D19,62.805115,-48.543638,90.0,bottom
D2,62.805534,-24.768485,90.0,bottom
D20,81.825115,-48.543638,90.0,bottom
D21,100.845115,-48.543638,90.0,bottom
D22,119.865115,-48.543638,90.0,bottom
D23,138.885115,-48.543638,90.0,bottom
D24,157.905115,-48.543638,90.0,bottom
D25,176.925115,-48.543638,90.0,bottom
D26,195.945115,-48.543638,90.0,bottom
D27,214.965115,-48.543638,90.0,bottom
D28,233.985115,-48.543638,90.0,bottom
D29,253.005115,-48.543638,90.0,bottom
D3,81.825534,-24.768485,90.0,bottom
D30,281.550115,-48.543638,90.0,bottom
D31,314.855115,-48.543638,90.0,bottom
D32,333.875115,-48.543638,90.0,bottom
D33,352.895115,-48.543638,90.0,bottom
D34,29.495115,-67.563638,90.0,bottom
D35,53.245115,-67.563638,90.0,bottom
D36,72.265115,-67.563638,90.0,bottom
D37,91.285115,-67.563638,90.0,bottom
D38,110.305115,-67.563638,90.0,bottom
D39,129.325115,-67.563638,90.0,bottom
D4,100.845534,-24.768485,90.0,bottom
D40,148.345115,-67.563638,90.0,bottom
D41,167.365115,-67.563638,90.0,bottom
D42,186.385115,-67.563638,90.0,bottom
D43,205.405115,-67.563638,90.0,bottom
D44,224.425115,-67.563638,90.0,bottom
D45,243.445115,-67.563638,90.0,bottom
D46,262.465115,-67.563638,90.0,bottom
D47,286.280115,-67.563638,90.0,bottom
D48,314.855115,-67.563638,90.0,bottom
D49,333.875115,-67.563638,90.0,bottom
D5,119.865534,-24.768485,90.0,bottom
D50,352.895115,-67.563638,90.0,bottom
D51,37.338,-86.583638,90.0,bottom
D52,58.135115,-86.583638,90.0,bottom
D53,77.135115,-86.583638,90.0,bottom
D54,96.135115,-86.583638,90.0,bottom
D55,115.135115,-86.583638,90.0,bottom
D56,134.135115,-86.583638,90.0,bottom
D57,153.135115,-86.583638,90.0,bottom
D58,172.155115,-86.583638,90.0,bottom
D59,191.175115,-86.583638,90.0,bottom
D6,148.395115,-24.763638,90.0,bottom
D60,210.175115,-86.583638,90.0,bottom
D61,229.175115,-86.583638,90.0,bottom
D62,248.175115,-86.583638,90.0,bottom
D63,279.095088,-86.583669,90.0,bottom
D64,36.665115,-105.603638,90.0,bottom
D65,67.585115,-105.603638,90.0,bottom
D66,86.585115,-105.603638,90.0,bottom
D67,105.585115,-105.603638,90.0,bottom
D68,124.585115,-105.603638,90.0,bottom
D69,143.585115,-105.603638,90.0,bottom
D7,167.415115,-24.763638,90.0,bottom
D70,162.585115,-105.603638,90.0,bottom
D71,181.585115,-105.603638,90.0,bottom
D72,200.585115,-105.603638,90.0,bottom
D73,219.585115,-105.603638,90.0,bottom
D74,238.585115,-105.603638,90.0,bottom
D75,264.541,-105.603638,90.0,bottom
D76,289.306,-105.603638,90.0,bottom
D77,284.988,-48.543638,90.0,bottom
D78,333.875115,-105.603638,90.0,bottom
D79,29.515115,-124.623638,90.0,bottom
D8,186.435115,-24.763638,90.0,bottom
D80,53.257615,-124.623638,90.0,bottom
D81,76.960115,-124.623638,90.0,bottom
D82,157.916529,-124.620498,90.0,bottom
D83,238.880115,-124.623638,90.0,bottom
D84,262.607615,-124.623638,90.0,bottom
D85,286.325115,-124.623638,90.0,bottom
D86,314.855115,-124.623638,90.0,bottom
D87,333.875115,-124.623638,90.0,bottom
D88,352.895115,-124.623638,90.0,bottom
D9,205.455115,-24.763638,90.0,bottom
F1,295.91,-23.594,270.0,bottom
J1,352.298,-103.473,90.0,bottom
J2,299.796115,-12.573,270.0,top
J4,347.689,-105.505,90.0,top
R1,138.557,-121.539,0.0,bottom
R2,26.416,-91.44,180.0,bottom
R3,330.708,-28.575,180.0,bottom
R4,21.59,-29.718,180.0,bottom
U1,294.005,-32.512,270.0,bottom
U2,330.706115,-83.414638,90.0,bottom
U3,299.434,-22.194,180.0,bottom
U4,339.471,-93.218,0.0,bottom
